,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,date
46,47,C,Ship,3,4,169,4,medium,F,32,1245,1,2017-11-05
47,48,F,Ship,5,1,160,2,low,M,32,1576,1,2017-12-03
48,49,D,Ship,5,4,190,2,medium,M,9,3753,1,2017-04-20
49,50,F,Ship,5,3,216,3,low,F,40,2146,1,2017-10-25
50,51,A,Ship,4,1,183,3,low,M,37,2042,1,2017-01-16
51,52,B,Ship,4,4,141,3,low,M,22,1735,1,2017-03-06
52,53,C,Ship,4,3,165,3,low,F,44,1320,1,2017-07-16
53,54,F,Ship,2,1,170,3,low,M,41,1128,1,2017-01-26
54,55,D,Ship,4,3,203,3,high,M,12,3539,1,2017-08-15
55,56,F,Ship,2,5,246,5,low,M,46,2437,1,2017-10-10
56,57,A,Ship,3,3,238,3,low,F,61,3096,1,2017-06-03
57,58,B,Ship,3,3,193,3,medium,F,29,3453,1,2017-04-15
58,59,C,Ship,5,5,141,3,high,M,41,1367,1,2017-01-23
59,60,F,Ship,4,1,150,3,high,F,17,1923,1,2017-09-23
60,61,D,Ship,3,1,221,3,low,F,64,2794,1,2017-07-15
61,62,F,Ship,3,3,179,3,medium,M,52,1158,1,2017-05-07
62,63,A,Ship,5,1,105,6,medium,M,62,1292,1,2017-10-07
63,64,B,Ship,3,1,177,3,medium,M,61,1880,1,2017-12-23
64,65,C,Ship,4,5,261,2,high,M,49,3045,1,2017-06-05
65,66,F,Ship,3,2,202,3,low,M,49,2881,1,2017-11-10
66,67,D,Ship,3,2,109,3,medium,F,15,1710,1,2017-03-25
67,68,F,Ship,3,3,158,3,low,F,6,1878,1,2017-06-16
68,69,A,Ship,4,2,231,4,medium,F,6,2512,1,2017-05-17
69,70,B,Ship,3,5,206,3,medium,M,39,2929,1,2017-10-16
70,71,C,Ship,5,1,187,4,high,M,14,3849,1,2017-09-24
71,72,F,Ship,5,5,230,2,low,F,2,2229,1,2017-10-07
72,73,D,Ship,5,5,232,3,medium,F,33,2998,1,2017-05-24
73,74,F,Ship,4,5,215,3,medium,F,21,3984,1,2017-08-28
74,75,A,Ship,6,1,238,6,low,F,13,2442,1,2017-03-29
75,76,B,Ship,4,1,266,3,low,F,23,3775,1,2017-10-09
76,77,C,Ship,2,3,158,2,medium,F,36,1788,1,2017-09-01
77,78,F,Ship,3,3,113,3,low,F,43,1518,1,2017-12-15
78,79,D,Ship,3,4,223,3,low,M,18,3959,1,2017-03-16
79,80,F,Ship,3,5,257,2,medium,F,56,3711,1,2017-07-10
80,81,A,Ship,3,4,180,2,medium,F,49,1942,1,2017-10-30
81,82,B,Ship,2,5,132,3,low,M,18,1759,1,2017-08-05
82,83,C,Ship,4,4,217,3,high,F,26,2875,1,2017-06-01
83,84,F,Ship,5,5,162,3,high,F,31,1364,1,2017-07-03
84,85,D,Ship,4,5,197,2,medium,F,40,2710,1,2017-11-18
85,86,F,Ship,3,4,197,3,medium,M,13,2148,1,2017-11-30
86,87,A,Ship,4,1,185,2,low,M,44,2910,1,2017-09-17
87,88,B,Ship,6,2,278,3,medium,F,3,2974,1,2017-09-11
88,89,C,Ship,3,3,229,3,low,M,49,2339,1,2017-09-20
89,90,F,Ship,4,1,186,4,medium,F,57,3880,1,2017-02-22
90,91,D,Ship,5,3,174,6,high,F,41,1085,1,2017-01-03
91,92,F,Ship,5,5,286,3,low,F,18,3163,1,2017-03-18
92,93,A,Ship,4,4,175,2,medium,F,7,1188,1,2017-05-30
93,94,B,Ship,3,3,219,3,medium,F,17,3387,1,2017-07-23
94,95,C,Ship,4,1,213,4,high,F,35,2343,1,2017-09-21
95,96,F,Ship,2,3,235,3,low,M,57,2034,1,2017-03-19
96,97,D,Ship,3,3,149,2,medium,M,18,1225,1,2017-07-20
97,98,F,Ship,4,1,271,2,medium,F,8,2401,1,2017-03-17
98,99,A,Ship,3,5,144,4,medium,M,5,1104,1,2017-11-29
99,100,B,Ship,4,2,145,2,medium,M,21,1617,1,2017-02-13
100,101,C,Ship,5,3,143,2,medium,M,59,1837,1,2017-01-21
101,102,F,Ship,5,5,227,4,low,M,53,2624,1,2017-01-31
102,103,D,Ship,2,1,213,3,low,M,29,2732,1,2017-02-06
103,104,F,Ship,5,1,144,4,low,M,37,1658,1,2017-09-21
104,105,A,Ship,3,3,218,3,low,M,3,2255,1,2017-10-29
105,106,B,Ship,4,2,144,3,medium,M,59,1588,1,2017-02-27
106,107,C,Ship,3,1,238,3,low,M,17,2624,1,2017-08-29
107,108,F,Ship,4,5,216,3,high,M,26,2053,1,2017-07-30
108,109,D,Ship,4,5,238,3,high,F,55,3257,1,2017-04-07
109,110,F,Ship,4,1,141,3,medium,M,47,1250,1,2017-09-27
110,111,A,Road,3,1,158,2,low,M,2,1284,1,2017-01-11
111,112,B,Road,4,2,239,3,low,F,65,3679,1,2017-10-07
112,113,C,Road,4,3,175,2,low,M,25,1816,1,2017-12-04
113,114,F,Road,3,2,263,3,low,M,41,2817,1,2017-06-02
114,115,D,Road,3,5,168,2,high,M,50,1616,1,2017-07-22
115,116,F,Road,3,4,176,3,high,M,36,1779,1,2017-05-29
116,117,A,Road,4,1,150,4,high,M,60,1024,1,2017-05-21
117,118,B,Road,4,3,265,2,medium,F,31,2326,1,2017-07-13
118,119,C,Road,2,5,263,3,low,F,5,2947,1,2017-04-05
119,120,F,Road,5,1,145,3,low,M,20,1387,1,2017-03-02
120,121,D,Road,4,2,183,3,low,F,33,2741,1,2017-06-02
121,122,F,Road,3,3,205,3,medium,F,19,2167,1,2017-12-05
122,123,A,Road,4,2,160,3,low,M,64,1714,1,2017-12-20
123,124,B,Road,3,3,252,2,medium,F,48,2102,1,2017-05-11
124,125,C,Road,5,5,222,3,low,M,10,2280,1,2017-08-09
125,126,F,Road,3,3,203,2,low,M,25,3607,1,2017-04-14
126,127,D,Road,4,5,220,3,medium,M,40,3516,1,2017-12-21
127,128,F,Road,3,3,147,4,low,F,60,1722,1,2017-09-24
128,129,A,Road,4,4,200,4,medium,M,16,2060,1,2017-07-02
129,130,B,Road,4,5,224,4,medium,M,21,2026,1,2017-12-19
130,131,C,Road,3,5,179,2,low,F,17,1364,1,2017-12-05
131,132,F,Road,3,4,144,3,low,M,50,1865,1,2017-07-18
132,133,D,Flight,5,2,247,3,low,M,17,3889,1,2017-07-14
133,134,F,Flight,5,4,280,6,medium,F,51,3582,1,2017-11-24
134,135,A,Flight,3,3,168,2,medium,F,1,1829,1,2017-06-26
135,136,B,Flight,3,5,157,3,medium,F,4,1889,1,2017-02-24
136,137,C,Flight,3,3,189,4,medium,F,51,2208,1,2017-01-16
137,138,F,Flight,3,5,162,2,medium,M,7,1739,1,2017-06-20
138,139,D,Flight,4,1,207,5,low,M,48,2399,1,2017-01-21
139,140,F,Flight,5,1,237,2,low,F,10,3860,1,2017-04-29
140,141,A,Flight,4,4,264,3,high,M,59,2020,1,2017-10-06
141,142,B,Flight,5,4,149,3,low,M,51,1645,1,2017-04-25
142,143,C,Flight,5,5,162,3,low,M,41,1462,1,2017-04-08
143,144,F,Flight,2,1,205,4,medium,F,63,2156,1,2017-07-01
144,145,D,Flight,2,1,158,3,medium,F,51,1540,1,2017-12-07
145,146,F,Flight,2,2,248,2,low,M,46,3707,1,2017-01-11
146,147,A,Flight,3,5,191,3,low,M,23,3750,1,2017-04-07
147,148,B,Flight,4,3,146,4,medium,F,24,1844,1,2017-07-03
148,149,C,Flight,3,3,135,3,low,M,56,1490,1,2017-11-14
149,150,F,Flight,5,1,149,3,low,M,40,1062,1,2017-02-26
150,151,D,Flight,4,4,220,2,medium,F,7,2551,1,2017-08-06
151,152,F,Flight,5,3,98,5,medium,M,44,1269,1,2017-08-20
152,153,A,Flight,3,4,97,4,low,M,32,1238,1,2017-04-07
153,154,B,Flight,3,3,183,2,low,M,53,3932,1,2017-01-26
154,155,C,Ship,3,3,162,3,medium,F,8,1869,1,2017-05-22
155,156,F,Ship,5,1,114,4,low,F,47,1443,1,2017-08-01
156,157,D,Ship,6,3,275,5,low,M,41,2491,1,2017-04-27
157,158,F,Ship,3,2,203,2,medium,F,39,3845,1,2017-10-27
158,159,A,Ship,5,5,205,2,high,M,65,3671,1,2017-05-15
159,160,B,Ship,3,3,149,3,low,F,63,1946,1,2017-07-25
160,161,C,Ship,2,2,112,4,medium,M,56,1138,1,2017-07-04
161,162,F,Ship,3,1,207,3,medium,F,56,3482,1,2017-01-25
162,163,D,Ship,4,1,261,4,low,F,58,3427,1,2017-05-18
163,164,F,Ship,5,2,274,3,medium,M,6,3375,1,2017-07-19
164,165,A,Ship,3,5,141,2,low,M,52,1692,1,2017-11-06
165,166,B,Ship,3,3,166,4,medium,F,17,1498,1,2017-11-22
166,167,C,Ship,5,2,141,3,high,F,34,1020,1,2017-09-06
167,168,F,Ship,4,5,152,3,low,M,43,1709,1,2017-01-22
168,169,D,Ship,4,2,250,3,low,F,53,2478,1,2017-10-24
169,170,F,Ship,4,3,161,3,medium,F,28,1809,1,2017-03-19
170,171,A,Ship,4,3,185,3,medium,F,10,2263,1,2017-08-08
171,172,B,Ship,4,4,176,4,high,F,52,1096,1,2017-06-27
172,173,C,Ship,3,4,148,3,low,M,56,1550,1,2017-10-31
173,174,F,Ship,3,2,270,3,low,F,63,2751,1,2017-02-15
174,175,D,Ship,3,3,242,3,low,F,51,3935,1,2017-12-10
175,176,F,Ship,4,4,150,2,medium,M,3,1285,1,2017-05-25
176,177,A,Ship,4,5,192,3,high,M,20,3872,1,2017-08-23
177,178,B,Ship,4,5,116,3,medium,M,54,1314,1,2017-02-15
178,179,C,Ship,3,3,192,3,medium,F,2,3995,1,2017-11-19
179,180,F,Ship,5,5,255,4,medium,M,3,3440,1,2017-10-30
180,181,D,Ship,4,1,161,7,medium,F,18,1294,1,2017-03-05
181,182,F,Ship,4,5,157,3,low,M,20,1487,1,2017-11-28
182,183,A,Ship,3,2,164,10,high,F,28,1940,1,2017-02-05
183,184,B,Ship,3,5,162,7,medium,F,16,1052,1,2017-02-03
184,185,C,Ship,3,3,146,2,low,M,50,1486,1,2017-05-11
185,186,F,Ship,3,2,209,3,medium,M,54,3001,1,2017-03-25
186,187,D,Ship,5,4,134,2,medium,F,55,1386,1,2017-02-18
187,188,F,Ship,2,1,222,2,medium,M,5,3778,1,2017-11-07
188,189,A,Ship,2,5,139,3,low,F,27,1233,1,2017-10-16
189,190,B,Ship,2,4,134,3,low,F,42,1415,1,2017-09-11
190,191,C,Ship,2,5,130,3,low,M,16,1092,1,2017-06-06
191,192,F,Ship,2,5,133,3,low,F,62,1596,1,2017-02-25
192,193,D,Ship,2,4,140,3,low,F,7,1411,1,2017-07-30
193,194,F,Ship,2,2,158,3,low,M,28,1968,1,2017-10-15
194,195,A,Ship,4,2,270,4,low,F,46,1736,1,2017-01-29
195,196,B,Ship,2,5,140,3,low,F,30,1030,1,2017-08-11
196,197,C,Ship,2,2,135,3,low,M,15,1339,1,2017-11-27
197,198,F,Ship,2,3,136,3,low,F,19,1568,1,2017-05-17
198,199,D,Ship,2,3,142,3,medium,F,38,7640,1,2017-04-20
199,200,F,Ship,2,2,154,3,medium,M,38,7846,1,2017-04-10
200,201,A,Ship,2,3,139,3,low,M,9,1471,1,2017-02-02
201,202,B,Ship,2,3,160,3,low,F,43,1251,1,2017-01-09
202,203,C,Ship,2,4,134,3,low,M,58,1067,1,2017-03-26
203,204,F,Ship,5,3,161,5,high,M,48,1883,1,2017-02-20
204,205,D,Ship,2,5,155,3,low,M,23,1602,1,2017-03-21
205,206,F,Ship,2,3,145,3,medium,F,24,7588,1,2017-06-19
206,207,A,Ship,2,2,157,3,low,M,1,1477,1,2017-11-17
207,208,B,Ship,2,2,160,3,low,M,48,1691,1,2017-04-19
208,209,C,Ship,2,4,152,3,low,M,55,1498,1,2017-07-31
209,210,F,Ship,2,5,148,3,high,F,11,1502,1,2017-01-25
210,211,D,Ship,2,1,127,3,low,F,15,1522,1,2017-04-24
211,212,F,Ship,2,5,154,3,low,F,21,1113,1,2017-10-04
212,213,A,Ship,2,5,127,3,low,M,44,1341,1,2017-02-14
213,214,B,Ship,2,5,160,3,medium,F,31,7401,1,2017-09-29
214,215,C,Ship,2,4,129,3,low,F,48,1219,1,2017-06-08
215,216,F,Ship,2,5,158,3,low,F,40,1722,1,2017-10-03
216,217,D,Ship,4,3,185,3,medium,M,3,3131,1,2017-09-09
217,218,F,Ship,4,4,176,4,high,F,63,1293,1,2017-06-04
218,219,A,Ship,3,4,148,3,low,M,37,1523,1,2017-08-24
219,220,B,Ship,3,5,270,3,low,M,60,3885,1,2017-03-28
220,221,C,Ship,3,4,242,3,low,M,29,2381,1,2017-08-16
221,222,F,Ship,4,3,150,2,medium,M,31,1588,1,2017-02-23
222,223,D,Ship,4,2,192,3,high,M,4,2061,1,2017-09-01
223,224,F,Ship,4,5,116,3,medium,F,9,1314,1,2017-10-18
224,225,A,Ship,3,4,192,3,medium,F,31,3331,1,2017-04-11
225,226,B,Ship,5,4,255,4,medium,F,38,2771,1,2017-08-17
226,227,C,Ship,4,3,161,7,medium,M,63,1496,1,2017-10-16
227,228,F,Ship,4,2,157,3,low,F,48,1393,1,2017-10-08
228,229,D,Ship,3,2,164,10,high,M,14,1375,1,2017-07-31
229,230,F,Ship,3,3,162,7,medium,F,42,1278,1,2017-08-18
230,231,A,Ship,3,1,146,2,low,F,54,1528,1,2017-04-05
231,232,B,Ship,3,4,209,3,medium,F,60,2240,1,2017-06-16
232,233,C,Ship,5,5,134,2,medium,M,53,1088,1,2017-06-25
233,234,F,Ship,2,1,222,2,medium,M,58,3626,1,2017-08-20
234,235,D,Ship,2,1,139,3,low,F,39,1582,1,2017-03-21
235,236,F,Ship,2,2,134,3,low,M,38,1352,1,2017-03-05
236,237,A,Ship,2,3,130,3,low,F,48,1801,1,2017-03-29
237,238,B,Ship,2,2,133,3,low,M,5,1268,1,2017-10-26
238,239,C,Ship,2,3,140,3,low,F,23,1372,1,2017-07-22
239,240,F,Ship,2,3,158,3,low,M,10,1515,1,2017-07-14
240,241,D,Ship,4,5,270,4,low,M,65,1818,1,2017-08-05
241,242,F,Ship,2,4,140,3,low,F,33,1278,1,2017-08-15
242,243,A,Ship,2,2,135,3,low,M,58,1734,1,2017-06-08
243,244,B,Ship,2,4,136,3,low,M,43,1958,1,2017-05-26
244,245,C,Ship,2,1,142,3,medium,F,8,6064,1,2017-11-21
245,246,F,Ship,2,4,154,3,medium,F,48,7684,1,2017-11-17
246,247,D,Ship,2,3,139,3,low,F,3,1788,1,2017-07-08
247,248,F,Road,2,4,160,3,low,F,50,1030,1,2017-07-26
248,249,A,Road,2,2,134,3,low,F,38,1530,1,2017-05-26
249,250,B,Road,5,5,161,5,high,F,54,1511,1,2017-06-17
250,251,C,Road,2,3,155,3,low,F,45,1639,1,2017-06-13
251,252,F,Road,2,2,145,3,medium,F,5,6102,1,2017-06-06
252,253,D,Road,2,1,157,3,low,M,58,1930,1,2017-05-31
253,254,F,Road,2,5,160,3,low,F,19,1399,1,2017-10-22
254,255,A,Road,2,2,152,3,low,F,61,1800,1,2017-06-19
255,256,B,Road,2,2,148,3,high,F,35,1349,1,2017-07-25
256,257,C,Road,2,2,127,3,low,M,13,1128,1,2017-11-23
257,258,F,Road,2,2,129,3,medium,F,22,6614,1,2017-06-03
258,259,D,Road,2,3,158,3,low,F,13,1245,1,2017-08-19
259,260,F,Road,2,4,147,3,low,M,5,1920,1,2017-08-29
260,261,A,Road,2,5,159,3,low,F,49,1621,1,2017-02-18
261,262,B,Road,2,3,151,3,low,F,23,1930,1,2017-06-28
262,263,C,Road,3,1,294,4,low,F,52,1089,1,2017-10-28
263,264,F,Road,3,2,226,2,medium,M,45,1446,1,2017-04-16
264,265,D,Road,5,3,271,5,high,M,9,1813,1,2017-07-02
265,266,F,Road,7,2,203,5,medium,F,61,1856,1,2017-09-14
266,267,A,Road,2,3,264,4,low,F,10,1648,1,2017-12-09
267,268,B,Road,4,1,258,3,medium,M,36,2211,1,2017-09-30
268,269,C,Road,3,5,241,3,low,F,21,3078,1,2017-10-03
269,270,F,Flight,4,5,208,3,medium,M,23,2056,1,2017-09-23
270,271,D,Flight,3,2,209,5,medium,F,12,3054,1,2017-04-23
271,272,F,Flight,5,1,182,2,medium,F,23,2707,1,2017-08-09
272,273,A,Flight,4,5,148,2,medium,F,43,1087,1,2017-02-21
273,274,B,Flight,2,3,183,2,medium,F,52,3199,1,2017-05-19
274,275,C,Flight,3,5,229,6,medium,M,22,2717,1,2017-05-04
275,276,F,Flight,5,5,115,5,low,F,26,1692,1,2017-11-21
276,277,D,Flight,4,2,136,3,low,F,65,1962,1,2017-09-28
277,278,F,Flight,4,4,212,3,low,M,21,3307,1,2017-07-11
278,279,A,Flight,4,3,171,3,low,F,24,1304,1,2017-01-22
279,280,B,Flight,3,1,151,2,low,M,60,1925,1,2017-06-24
280,281,C,Flight,3,1,205,3,medium,M,39,3062,1,2017-05-12
281,282,F,Flight,5,4,147,3,medium,M,23,1132,1,2017-12-11
282,283,D,Flight,3,3,155,3,low,F,29,1712,1,2017-07-28
283,284,F,Flight,5,4,165,3,low,F,20,1150,1,2017-02-24
284,285,A,Flight,5,5,230,3,low,F,32,3249,1,2017-03-13
285,286,B,Flight,2,4,181,4,medium,M,13,2309,1,2017-01-15
286,287,C,Flight,5,3,234,2,low,F,55,3308,1,2017-07-25
287,288,F,Flight,4,4,149,3,low,M,34,1977,1,2017-05-24
288,289,D,Flight,5,5,156,2,low,M,44,1561,1,2017-11-06
289,290,F,Flight,4,2,172,3,medium,F,59,1858,1,2017-08-01
290,291,A,Flight,4,4,270,3,low,M,12,3279,1,2017-04-25
291,292,B,Ship,4,1,206,3,medium,M,23,3807,1,2017-08-27
292,293,C,Ship,4,3,211,4,medium,M,40,3106,1,2017-02-14
293,294,F,Ship,3,2,136,4,low,M,62,1090,1,2017-02-07
294,295,D,Ship,5,1,186,2,high,F,52,3981,1,2017-05-31
295,296,F,Ship,3,1,202,2,medium,M,62,3398,1,2017-11-29
296,297,A,Ship,4,2,183,3,medium,F,12,3646,1,2017-01-13
297,298,B,Ship,4,4,232,2,low,M,36,2861,1,2017-11-12
298,299,C,Ship,4,2,147,4,medium,M,52,1129,1,2017-08-04
299,300,F,Ship,4,3,136,3,medium,M,20,1531,1,2017-05-06
300,301,D,Ship,5,3,127,3,low,F,43,1446,1,2017-02-13
301,302,F,Ship,4,5,202,2,medium,M,35,3695,1,2017-10-22
302,303,A,Ship,3,4,241,2,low,M,57,3671,1,2017-04-02
303,304,B,Ship,4,3,222,2,medium,M,55,3833,1,2017-04-23
304,305,C,Ship,3,2,183,4,medium,F,12,2777,1,2017-09-11
305,306,F,Ship,4,4,249,3,medium,F,36,3769,1,2017-11-22
306,307,D,Ship,3,1,243,4,high,M,59,3838,1,2017-08-15
307,308,F,Ship,3,3,163,3,medium,M,9,1257,1,2017-06-21
308,309,A,Ship,4,2,165,2,high,M,11,1596,1,2017-07-04
309,310,B,Ship,5,5,266,3,medium,F,53,3089,1,2017-03-15
310,311,C,Ship,3,4,193,2,medium,M,48,3909,1,2017-11-05
311,312,F,Ship,3,2,154,3,low,F,56,1136,1,2017-03-31
312,313,D,Ship,3,3,140,3,medium,M,51,1046,1,2017-01-28
313,314,F,Ship,4,3,272,3,medium,M,38,3705,1,2017-02-13
314,315,A,Ship,4,2,143,6,medium,M,20,1654,1,2017-01-02
315,316,B,Ship,4,2,138,3,low,F,30,1805,1,2017-12-05
316,317,C,Ship,4,2,238,2,high,M,17,3358,1,2017-05-08
317,318,F,Ship,4,5,273,4,medium,F,31,2373,1,2017-04-05
318,319,D,Ship,3,1,200,2,medium,M,27,2551,1,2017-12-07
319,320,F,Ship,4,5,213,4,low,M,39,2381,1,2017-01-31
320,321,A,Ship,3,4,224,2,medium,F,15,2701,1,2017-03-06
321,322,B,Ship,4,5,141,3,medium,M,12,1672,1,2017-05-31
322,323,C,Ship,3,3,150,3,low,M,46,1040,1,2017-04-09
323,324,F,Ship,3,1,192,2,low,M,33,2818,1,2017-11-05
324,325,D,Ship,5,1,279,4,medium,F,24,3440,1,2017-05-12
325,326,F,Ship,3,4,246,3,medium,M,30,3748,1,2017-03-12
326,327,A,Ship,3,4,173,3,medium,M,52,1587,1,2017-05-21
327,328,B,Ship,4,4,233,4,medium,F,59,2358,1,2017-10-23
328,329,C,Ship,5,1,274,2,medium,M,24,2423,1,2017-08-19
329,330,F,Ship,4,5,243,4,medium,F,41,2782,1,2017-03-25
330,331,D,Ship,3,4,197,3,medium,F,56,3427,1,2017-08-28
331,332,F,Ship,4,3,140,3,high,F,46,1072,1,2017-06-26
332,333,A,Ship,3,5,215,3,medium,F,22,2585,1,2017-11-14
333,334,B,Ship,3,4,211,3,medium,M,8,3710,1,2017-09-27
334,335,C,Ship,4,2,220,5,low,M,33,2854,1,2017-06-14
335,336,F,Ship,3,1,194,4,low,M,64,2026,1,2017-10-07
336,337,D,Ship,5,1,262,3,medium,F,58,3599,1,2017-05-03
337,338,F,Ship,4,4,201,2,low,F,1,3147,1,2017-09-07
338,339,A,Ship,3,5,261,3,medium,M,15,2989,1,2017-12-18
339,340,B,Ship,4,4,191,6,low,F,60,3425,1,2017-02-23
340,341,C,Ship,2,5,255,5,medium,F,53,3775,1,2017-06-19
341,342,F,Ship,3,2,169,2,high,M,30,1698,1,2017-12-11
342,343,D,Ship,4,5,162,2,medium,M,64,1918,1,2017-09-04
343,344,F,Ship,2,5,248,6,low,F,62,2750,1,2017-08-10
344,345,A,Ship,5,3,197,4,low,F,2,2222,1,2017-09-02
345,346,B,Ship,5,1,264,3,low,M,6,2882,1,2017-07-24
346,347,C,Ship,5,5,260,2,medium,F,55,2791,1,2017-12-05
347,348,F,Ship,5,3,186,2,medium,F,58,2259,1,2017-04-16
348,349,D,Ship,4,5,233,4,low,F,44,2551,1,2017-02-06
349,350,F,Ship,5,1,161,3,low,M,47,1954,1,2017-04-23
350,351,A,Ship,4,5,188,3,low,F,13,2409,1,2017-05-25
351,352,B,Ship,5,5,171,2,medium,F,22,1695,1,2017-06-08
352,353,C,Ship,2,2,267,3,medium,M,15,2481,1,2017-04-26
353,354,F,Ship,4,3,255,2,high,M,47,2956,1,2017-04-17
354,355,D,Ship,3,2,132,3,low,F,56,1303,1,2017-08-01
355,356,F,Ship,5,1,266,3,low,F,31,3157,1,2017-10-19
356,357,A,Ship,3,4,198,2,low,M,25,2774,1,2017-12-04
357,358,B,Ship,2,3,247,2,medium,F,62,3127,1,2017-09-16
358,359,C,Ship,3,1,140,3,medium,F,65,1291,1,2017-08-02
359,360,F,Ship,4,3,131,5,low,M,6,1659,1,2017-04-04
360,361,D,Ship,5,2,246,3,medium,M,49,3236,1,2017-06-14
361,362,F,Ship,3,2,159,3,medium,F,4,1681,1,2017-04-20
362,363,A,Ship,3,5,203,2,medium,M,61,3642,1,2017-10-30
363,364,B,Ship,4,3,187,4,high,F,29,3141,1,2017-12-03
364,365,C,Ship,6,2,146,3,low,F,62,1936,1,2017-10-11
365,366,F,Ship,3,2,234,3,medium,M,39,2099,1,2017-11-25
366,367,D,Ship,3,4,122,3,high,F,15,1354,1,2017-01-29
367,368,F,Ship,3,3,135,3,low,M,8,1074,1,2017-05-11
368,369,A,Ship,3,5,103,3,low,M,3,1403,1,2017-08-16
369,370,B,Ship,3,5,257,3,medium,F,19,2173,1,2017-10-20
370,371,C,Ship,4,3,169,2,low,M,2,1399,1,2017-08-17
371,372,F,Ship,4,5,159,3,medium,M,18,1808,1,2017-06-18
372,373,D,Ship,4,5,188,3,low,M,38,3031,1,2017-01-19
373,374,F,Ship,5,1,136,3,medium,M,19,1420,1,2017-08-14
374,375,A,Ship,5,1,227,3,low,F,19,3007,1,2017-11-16
375,376,B,Ship,3,5,262,2,low,F,53,3275,1,2017-02-16
376,377,C,Ship,2,3,157,2,low,M,45,1965,1,2017-08-06
377,378,F,Ship,5,3,238,2,medium,F,21,2053,1,2017-04-23
378,379,D,Ship,3,5,152,3,low,M,43,1282,1,2017-01-03
379,380,F,Ship,3,2,201,3,medium,M,5,2040,1,2017-04-09
