id,age,status,gender,diet,drinks,height,income,last_online,location,offspring,sign,smokes,speaks,age_group,messages_sent,profile_completion,account_age,preferred_age_range,subscription_type,self_rated_attractiveness
258805,26,single,m,,,69,-1,27/06/2012,"san francisco, california",,,,"english, russian",25-34,252,66,6,21-31,Free,2
488163,32,single,m,mostly anything,socially,69,-1,28/06/2012,"san francisco, california","doesn't have kids, but wants them",cancer and it’s fun to think about,when drinking,"english (fluently), spanish (fluently)",25-34,235,93,6,27-37,Free,9
320768,25,single,m,mostly anything,socially,69,-1,28/06/2012,"oakland, california","doesn't have kids, but might want them",libra and it’s fun to think about,,"english (fluently), spanish (poorly)",25-34,344,54,4,20-30,Free,8
824819,27,single,f,,socially,63,-1,29/06/2012,"walnut creek, california",,libra,,english,25-34,48,51,4,22-32,Free,9
793518,35,single,m,,socially,74,-1,30/06/2012,"san rafael, california",,,no,english,35-44,474,90,2,30-40,Free,8
103113,30,single,m,,often,76,-1,29/06/2012,"menlo park, california",doesn't have kids,,no,"english (fluently), dutch (fluently), lisp (fluently), spanish (okay), german (okay)",25-34,58,83,7,25-35,Free,2
525633,35,single,m,strictly anything,,72,-1,30/06/2012,"oakland, california","doesn't have kids, but wants them",pisces,no,english,35-44,169,69,9,30-40,Premium,7
226898,30,single,m,strictly anything,often,75,-1,19/03/2012,"berkeley, california",,gemini but it doesn’t matter,no,"english, indonesian (fluently)",25-34,475,95,9,25-35,Premium,6
846573,40,single,m,,socially,71,60000,30/06/2012,"san francisco, california",doesn't have kids,gemini and it’s fun to think about,no,"english (okay), french (poorly), spanish (poorly), c++ (okay)",35-44,187,96,2,35-45,Premium,8
770225,29,single,f,anything,socially,66,-1,10/06/2012,"san francisco, california",doesn't have kids,aquarius and it’s fun to think about,no,"english, spanish (poorly), portuguese (poorly)",25-34,463,51,9,24-34,Free,9
423593,27,single,m,mostly anything,socially,69,-1,28/06/2012,"oakland, california",doesn't have kids,aquarius,,"english (fluently), tagalog (fluently)",25-34,270,77,5,22-32,Free,10
427012,27,single,m,mostly anything,socially,73,-1,29/06/2012,"san francisco, california",,,,"english (fluently), swedish (fluently), french (poorly)",25-34,189,67,6,22-32,Premium,9
296976,28,single,m,anything,often,70,-1,25/06/2012,"san francisco, california",doesn't have kids,libra,no,english (okay),25-34,445,93,1,23-33,Free,2
451979,31,single,f,strictly anything,socially,67,1000000,30/06/2012,"san francisco, california",doesn't have kids,,no,"english (fluently), belarusan, gujarati, lisp, russian (fluently)",25-34,174,88,7,26-36,Free,10
356878,26,single,f,mostly anything,socially,66,-1,28/06/2012,"belmont, california",doesn't have kids,taurus but it doesn’t matter,no,"english (fluently), spanish (okay)",25-34,445,97,8,21-31,Free,8
207144,33,single,f,,often,66,-1,27/06/2012,"oakland, california",,taurus,no,"english (fluently), spanish (okay)",25-34,50,100,5,28-38,Free,2
308045,38,single,f,anything,socially,65,-1,23/03/2012,"oakland, california",wants kids,taurus,no,english,35-44,363,84,6,33-43,Premium,8
483002,31,single,m,mostly anything,socially,69,-1,23/06/2012,"san francisco, california",doesn't have kids,gemini and it’s fun to think about,no,"english, japanese (poorly)",25-34,54,64,4,26-36,Free,9
444943,36,single,m,,socially,69,-1,20/06/2012,"oakland, california",,,,english,35-44,243,96,3,31-41,Free,10
234340,33,single,m,mostly anything,rarely,69,-1,25/06/2012,"menlo park, california",,,no,english,25-34,319,88,3,28-38,Free,7
412648,33,single,m,anything,socially,70,-1,29/06/2012,"san francisco, california",doesn't have kids,pisces and it’s fun to think about,no,"english, farsi (fluently)",25-34,130,89,2,28-38,Free,10
478685,26,single,m,anything,socially,71,-1,29/06/2012,"berkeley, california",,sagittarius,no,"english (fluently), french (fluently), spanish (poorly)",25-34,484,88,6,21-31,Premium,10
140602,21,single,m,,socially,72,-1,29/06/2012,"san francisco, california",,,when drinking,english,18-24,306,52,9,18-26,Free,9
957486,22,single,m,,socially,70,-1,13/10/2011,"san francisco, california",,pisces,sometimes,english,18-24,134,68,3,18-27,Free,10
654041,31,single,m,,socially,71,-1,05/06/2012,"san francisco, california",,libra but it doesn’t matter,when drinking,"english (fluently), spanish (poorly)",25-34,20,72,1,26-36,Free,10
361081,31,seeing someone,m,mostly anything,socially,67,-1,07/05/2012,"san francisco, california",,gemini but it doesn’t matter,no,"english, tagalog (poorly), c++ (okay)",25-34,328,68,1,26-36,Premium,8
927829,35,single,m,mostly vegetarian,socially,75,-1,29/06/2012,"san francisco, california",doesn't have kids,cancer,no,"english, spanish (poorly)",35-44,166,67,4,30-40,Free,8
877657,31,single,m,strictly anything,socially,70,-1,29/06/2012,"san francisco, california",doesn't have kids,cancer and it’s fun to think about,when drinking,english,25-34,273,79,1,26-36,Free,8
445500,28,single,f,mostly vegetarian,socially,67,-1,28/06/2012,"san francisco, california","doesn't have kids, but might want them",gemini and it’s fun to think about,sometimes,"english, spanish (okay)",25-34,387,88,2,23-33,Free,8
761627,28,single,m,anything,socially,72,-1,27/06/2012,"san francisco, california",doesn't have kids,virgo but it doesn’t matter,no,"english (fluently), spanish (fluently)",25-34,88,68,4,23-33,Free,8
448939,29,single,m,mostly vegetarian,socially,68,-1,29/06/2012,"san francisco, california",doesn't have kids,,no,"english, spanish (poorly)",25-34,315,54,4,24-34,Premium,9
606293,22,single,m,mostly anything,rarely,65,20000,30/06/2012,"san jose, california",,virgo but it doesn’t matter,no,english (fluently),18-24,13,62,8,18-27,Free,9
328626,30,single,f,,rarely,66,-1,28/05/2012,"san francisco, california",,aries and it’s fun to think about,sometimes,english (fluently),25-34,241,83,4,25-35,Free,8
180626,31,single,f,strictly anything,socially,69,-1,09/05/2012,"palo alto, california",doesn't want kids,virgo,sometimes,english (fluently),25-34,264,73,3,26-36,Free,10
352707,29,single,m,,socially,76,-1,26/04/2012,"berkeley, california",,scorpio and it’s fun to think about,no,"english (fluently), italian (poorly)",25-34,345,67,4,24-34,Premium,10
970294,25,single,f,,rarely,62,-1,28/06/2012,"belmont, california",,pisces,no,english,25-34,52,53,5,20-30,Free,9
673977,33,single,f,mostly anything,socially,67,-1,15/02/2012,"san francisco, california",,gemini and it’s fun to think about,no,"english, spanish (okay), italian (poorly), c++",25-34,385,85,5,28-38,Free,8
969260,35,single,m,mostly anything,socially,73,150000,29/06/2012,"emeryville, california","doesn't have kids, but might want them",pisces and it’s fun to think about,no,"english (poorly), spanish (poorly)",35-44,339,57,4,30-40,Free,8
229386,31,single,f,mostly anything,socially,61,50000,29/06/2012,"oakland, california","doesn't have kids, but might want them",libra and it’s fun to think about,no,"english (fluently), hindi (okay), spanish (poorly), french (poorly), sanskrit (poorly)",25-34,91,92,2,26-36,Free,9
378724,28,single,m,strictly anything,,72,-1,28/06/2012,"oakland, california",,sagittarius but it doesn’t matter,,"english (fluently), french (okay), german (poorly)",25-34,366,50,3,23-33,Free,10
976621,29,available,f,strictly vegetarian,socially,67,-1,28/06/2012,"oakland, california",doesn't have kids,gemini,,"english (fluently), spanish (poorly)",25-34,443,90,3,24-34,Premium,9
318189,26,single,m,mostly anything,often,72,-1,28/06/2012,"berkeley, california","doesn't have kids, but might want them",capricorn but it doesn’t matter,no,english,25-34,454,87,5,21-31,Free,5
898875,25,seeing someone,f,,socially,65,-1,20/10/2011,"san francisco, california",,leo and it’s fun to think about,no,english (fluently),25-34,427,85,2,20-30,Premium,8
385069,34,single,f,mostly anything,socially,67,-1,26/06/2012,"san francisco, california",doesn't have kids,,no,"english, spanish, italian",35-44,263,87,2,29-39,Free,8
293783,21,single,m,mostly anything,rarely,71,20000,20/12/2011,"san francisco, california",,,no,english,18-24,430,62,2,18-26,Free,8
962817,28,single,f,,often,67,-1,24/06/2012,"san francisco, california",doesn't have kids,cancer but it doesn’t matter,no,"english (fluently), french (fluently)",25-34,34,71,6,23-33,Free,6
797250,31,single,m,mostly anything,socially,69,-1,29/06/2012,"san francisco, california",,,no,"english, german (fluently), spanish (okay)",25-34,205,78,8,26-36,Free,9
206902,34,single,m,anything,socially,69,100000,28/06/2012,"san francisco, california",,,no,"english, other (poorly)",35-44,80,58,6,29-39,Premium,8
403789,32,single,f,,socially,64,-1,25/02/2012,"san francisco, california",,pisces and it’s fun to think about,no,"english (fluently), japanese (okay), spanish (poorly)",25-34,419,76,4,27-37,Free,8
986691,30,single,m,,socially,73,-1,25/12/2011,"san francisco, california",,gemini but it doesn’t matter,no,english,25-34,49,95,8,25-35,Premium,9
150198,28,single,m,,socially,68,-1,21/04/2012,"palo alto, california",,scorpio and it’s fun to think about,no,"english (fluently), spanish (okay), portuguese (poorly)",25-34,359,93,4,23-33,Premium,8
426433,40,single,f,anything,socially,66,-1,06/06/2012,"san francisco, california",,taurus,no,"english (fluently), spanish (okay)",35-44,387,53,9,35-45,Free,10
998222,27,single,f,mostly anything,often,61,-1,26/06/2012,"san francisco, california",,aries and it’s fun to think about,no,"english, spanish (poorly)",25-34,1,89,8,22-32,Free,2
575755,43,single,m,,socially,71,-1,29/06/2012,"oakland, california",doesn't have kids,,no,"english, chinese (poorly), spanish (okay)",35-44,389,66,4,38-48,Premium,10
388811,37,single,f,mostly anything,socially,64,-1,30/03/2012,"san francisco, california",,,no,english,35-44,53,86,7,32-42,Free,9
732356,24,single,m,anything,socially,74,-1,27/01/2012,"san francisco, california",,cancer,yes,english,25-34,105,52,9,19-29,Free,9
857328,29,single,m,,,74,-1,27/10/2011,"san rafael, california",,scorpio,,english,25-34,259,53,6,24-34,Premium,10
568976,29,available,f,,,67,50000,27/07/2011,"el granada, california",,capricorn and it’s fun to think about,,english,25-34,309,89,1,24-34,Premium,3
439532,28,single,m,mostly vegetarian,socially,69,-1,29/06/2012,"san francisco, california",doesn't have kids,leo,no,"english (fluently), spanish (okay)",25-34,476,65,6,23-33,Free,10
357469,29,single,m,mostly anything,socially,67,40000,28/05/2012,"san francisco, california",doesn't want kids,libra,no,english (fluently),25-34,190,60,8,24-34,Free,10
534424,25,single,m,mostly anything,socially,78,80000,26/06/2012,"san francisco, california","doesn't have kids, but might want them",aries but it doesn’t matter,no,"english (fluently), french (okay)",25-34,401,76,9,20-30,Free,10
840393,34,single,m,mostly other,very often,75,-1,29/06/2012,"san francisco, california",,aries,no,"english (poorly), german (poorly), spanish (poorly), other (fluently)",35-44,217,75,1,29-39,Free,9
366854,39,single,m,,socially,70,-1,16/05/2012,"san francisco, california",doesn't have kids,,no,"english, chinese",35-44,43,80,5,34-44,Premium,9
275430,31,single,f,anything,socially,66,-1,29/06/2012,"san francisco, california","doesn't have kids, but might want them",pisces,no,english (fluently),25-34,161,83,5,26-36,Premium,8
958267,46,single,m,mostly anything,socially,72,-1,24/06/2012,"castro valley, california",has a kid,taurus,no,english,45-54,201,57,8,41-51,Premium,8
917956,38,single,m,,socially,71,-1,29/06/2012,"san francisco, california","doesn't have kids, but might want them",aquarius,no,english,35-44,445,88,7,33-43,Premium,8
803861,30,single,m,strictly anything,socially,68,-1,18/06/2012,"daly city, california",,,no,"english (poorly), afrikaans (fluently), c++ (fluently), khmer (fluently), lisp (okay)",25-34,483,50,5,25-35,Free,8
694877,41,single,m,mostly anything,socially,69,1000000,28/06/2012,"fairfax, california",,libra and it’s fun to think about,no,"english (fluently), spanish (poorly), french (poorly)",35-44,269,51,6,36-46,Free,10
529764,39,single,m,mostly other,socially,70,100000,19/05/2012,"san francisco, california",,leo and it’s fun to think about,no,english (fluently),35-44,350,76,8,34-44,Free,9
748898,31,single,f,anything,socially,63,-1,25/06/2012,"san francisco, california","doesn't have kids, but wants them",scorpio but it doesn’t matter,no,english,25-34,303,94,6,26-36,Premium,9
259921,42,single,f,mostly anything,socially,65,-1,29/06/2012,"mountain view, california",has kids,aries but it doesn’t matter,no,"english (fluently), french (poorly), hebrew (okay), yiddish (poorly)",35-44,270,92,5,37-47,Free,10
102748,45,single,f,mostly anything,socially,64,-1,24/06/2012,"menlo park, california",doesn't have kids,aries but it doesn’t matter,no,english (fluently),45-54,455,52,1,40-50,Free,9
302537,21,single,m,mostly anything,rarely,72,500000,17/03/2012,"burlingame, california",,aries and it’s fun to think about,no,english,18-24,461,83,8,18-26,Free,8
269383,28,single,f,,socially,64,-1,30/06/2012,"san francisco, california","doesn't have kids, but might want them",aries but it doesn’t matter,no,"english (fluently), spanish (poorly), tagalog (poorly)",25-34,214,65,8,23-33,Free,9
311534,29,single,m,strictly anything,socially,66,-1,29/06/2012,"martinez, california",doesn't have kids,,no,english,25-34,251,50,6,24-34,Free,9
767807,36,single,m,,socially,68,-1,24/06/2012,"san francisco, california",,virgo,no,"english, spanish",35-44,189,56,7,31-41,Free,8
477838,28,single,m,,socially,71,-1,29/06/2012,"oakland, california",doesn't have kids,,no,"english (fluently), spanish (fluently)",25-34,295,84,7,23-33,Free,8
664722,24,single,m,,socially,74,-1,29/06/2012,"oakland, california",,,,english,25-34,212,71,2,19-29,Premium,9
541955,23,single,f,mostly anything,rarely,66,20000,28/06/2012,"san francisco, california",has a kid,capricorn and it’s fun to think about,when drinking,english (fluently),18-24,207,97,6,18-28,Free,7
364815,36,seeing someone,m,strictly anything,often,70,-1,22/03/2012,"emeryville, california",,aries but it doesn’t matter,no,"english (fluently), c++ (okay), french (poorly)",35-44,236,81,7,31-41,Premium,2
525262,35,single,m,,socially,72,-1,24/06/2012,"pleasant hill, california",,aquarius,when drinking,english,35-44,337,75,8,30-40,Free,9
552812,18,single,m,,,68,-1,24/05/2012,"hayward, california",,,,"english (fluently), sign language (okay), hindi (fluently)",18-24,366,55,2,18-23,Free,7
133644,55,single,m,,not at all,67,-1,09/02/2012,"alameda, california",has kids,leo,no,"english (fluently), spanish (fluently), japanese (poorly)",55-64,52,95,8,50-60,Free,5
986946,21,single,f,mostly vegetarian,not at all,65,-1,29/06/2012,"san francisco, california",doesn't have kids,capricorn and it’s fun to think about,no,"english (fluently), russian (okay), french (poorly)",18-24,279,60,2,18-26,Premium,6
248331,28,seeing someone,f,mostly anything,socially,66,-1,22/06/2012,"berkeley, california",,scorpio,no,"english (fluently), polish (fluently), spanish (poorly)",25-34,409,80,9,23-33,Free,10
564768,24,single,m,,socially,71,-1,28/06/2012,"san francisco, california",,aquarius but it doesn’t matter,no,"english, russian (okay)",25-34,216,70,2,19-29,Premium,9
883152,50,single,m,mostly anything,socially,75,-1,09/06/2012,"vallejo, california",has kids,gemini but it doesn’t matter,no,"english (fluently), tagalog (poorly)",45-54,251,100,3,45-55,Free,10
773190,23,single,m,anything,socially,66,-1,15/06/2012,"san francisco, california",,cancer,trying to quit,"english (fluently), russian (fluently)",18-24,187,71,8,18-28,Free,8
241076,21,single,m,strictly anything,socially,70,1000000,29/06/2012,"san francisco, california","doesn't have kids, and doesn't want any",sagittarius and it’s fun to think about,sometimes,english,18-24,379,50,6,18-26,Free,8
729676,27,single,f,mostly anything,socially,62,-1,12/06/2012,"san francisco, california",,aries but it doesn’t matter,no,"english (fluently), spanish (poorly)",25-34,492,70,9,22-32,Free,10
902441,27,single,m,,socially,68,150000,29/02/2012,"san francisco, california",,,no,english,25-34,40,94,8,22-32,Free,10
711073,43,single,m,,socially,73,-1,28/06/2012,"emeryville, california",,virgo but it doesn’t matter,no,"english, german (poorly), lisp (fluently), c++ (fluently)",35-44,156,69,6,38-48,Free,9
779074,27,available,m,strictly anything,socially,68,150000,27/06/2012,"san francisco, california",,,no,english,25-34,14,58,3,22-32,Free,10
734310,26,single,m,,often,71,-1,30/06/2012,"san francisco, california",doesn't want kids,libra,trying to quit,english,25-34,300,76,3,21-31,Free,5
623367,26,available,m,,rarely,66,-1,29/01/2012,"menlo park, california",doesn't want kids,,no,"english (fluently), c++ (okay)",25-34,64,78,2,21-31,Free,8
869402,30,available,m,,socially,69,-1,29/06/2012,"san francisco, california",,gemini but it doesn’t matter,yes,english,25-34,344,92,8,25-35,Free,10
467720,32,seeing someone,f,mostly vegetarian,socially,68,-1,15/05/2012,"berkeley, california",,leo and it’s fun to think about,trying to quit,"english (okay), german (poorly), spanish (poorly), serbian (poorly)",25-34,326,82,5,27-37,Premium,8
742266,43,single,f,mostly vegetarian,socially,68,-1,29/06/2012,"san francisco, california",,libra and it matters a lot,no,"english, spanish (poorly), french (poorly)",35-44,8,94,9,38-48,Free,9
632988,39,single,f,anything,rarely,68,-1,12/06/2012,"san francisco, california",,,no,english,35-44,343,50,5,34-44,Free,7
286880,22,single,m,strictly anything,socially,68,-1,30/06/2012,"berkeley, california",doesn't have kids,,no,"english (fluently), c++ (okay), spanish (okay), lisp (okay)",18-24,128,52,5,18-27,Free,10
573360,33,single,f,,,67,-1,29/06/2012,"san francisco, california","doesn't have kids, but wants them",libra,no,"english (fluently), dutch (okay)",25-34,491,81,8,28-38,Free,4
104608,24,single,m,mostly vegan,socially,75,-1,24/06/2012,"berkeley, california",doesn't have kids,sagittarius but it doesn’t matter,when drinking,english,25-34,135,69,8,19-29,Free,10
664941,50,single,m,mostly anything,often,73,80000,29/06/2012,"benicia, california",doesn't want kids,libra,no,english,45-54,471,66,2,45-55,Free,5
620533,32,seeing someone,m,,not at all,67,-1,19/05/2012,"oakland, california",,cancer,no,english,25-34,62,86,8,27-37,Premium,9
898836,23,single,m,,rarely,73,-1,15/06/2012,"castro valley, california","doesn't have kids, but might want them",,no,english,18-24,138,87,7,18-28,Premium,7
785332,32,single,f,anything,socially,62,-1,28/06/2012,"san francisco, california","doesn't have kids, but might want them",pisces,no,english,25-34,498,98,6,27-37,Free,10
772814,59,single,m,anything,socially,73,80000,15/08/2011,"daly city, california",doesn't want kids,libra and it’s fun to think about,no,"english (fluently), english",55-64,80,59,3,54-64,Free,9
483709,36,single,m,anything,often,73,-1,29/06/2012,"oakland, california",,taurus and it’s fun to think about,no,"english, english (fluently)",35-44,391,92,5,31-41,Free,6
750321,29,single,m,,socially,74,-1,29/06/2012,"oakland, california",doesn't have kids,,no,english,25-34,162,94,2,24-34,Free,9
140836,39,single,f,mostly anything,socially,63,-1,25/06/2012,"berkeley, california",has kids,leo,no,english,35-44,418,78,9,34-44,Free,9
497845,24,single,m,,socially,67,60000,14/06/2012,"san francisco, california",,scorpio but it doesn’t matter,no,english (fluently),25-34,288,91,5,19-29,Premium,9
376326,28,single,m,,desperately,70,-1,07/06/2012,"el cerrito, california",doesn't have kids,sagittarius,yes,english,25-34,378,95,8,23-33,Free,1
381836,50,single,m,,socially,66,80000,06/12/2011,"vallejo, california",has kids,,no,english,45-54,260,81,5,45-55,Premium,8
825550,32,single,f,,socially,64,-1,19/07/2011,"menlo park, california",,,no,"english (fluently), french (okay)",25-34,489,62,9,27-37,Free,9
439019,41,single,f,,socially,67,-1,19/05/2012,"mill valley, california",,cancer and it’s fun to think about,no,english,35-44,230,80,1,36-46,Free,8
734273,50,single,f,mostly vegetarian,socially,63,-1,29/06/2012,"san francisco, california",has kids,cancer,no,"english, spanish (okay), german (okay)",45-54,40,53,6,45-55,Free,8
779641,44,single,m,,socially,68,-1,29/06/2012,"san francisco, california",,leo but it doesn’t matter,no,english,45-54,27,98,8,39-49,Free,10
452151,48,single,m,mostly anything,,68,-1,29/06/2012,"oakland, california",doesn't want kids,aquarius and it’s fun to think about,no,"english (fluently), other (okay)",45-54,134,67,7,43-53,Free,3
580738,24,available,m,,socially,75,-1,08/02/2012,"oakland, california",,leo and it matters a lot,trying to quit,english,25-34,200,60,2,19-29,Free,9
324421,26,single,m,strictly anything,not at all,73,-1,27/06/2012,"oakland, california","doesn't have kids, but wants them",virgo,no,"english (fluently), french (okay)",25-34,327,91,2,21-31,Free,7
123240,29,single,f,mostly anything,socially,61,-1,26/06/2012,"san mateo, california",,scorpio and it’s fun to think about,no,english,25-34,267,67,1,24-34,Free,10
311257,40,single,f,,socially,62,-1,07/05/2012,"richmond, california",has a kid,,,english,35-44,417,100,1,35-45,Free,8
675985,29,single,f,vegetarian,socially,68,-1,30/05/2012,"san francisco, california",,leo but it doesn’t matter,no,"english, spanish (fluently)",25-34,32,90,3,24-34,Free,8
804791,54,single,f,mostly anything,socially,69,-1,20/06/2012,"redwood city, california",,scorpio but it doesn’t matter,no,"english (fluently), spanish (fluently)",55-64,47,86,3,49-59,Free,8
709142,20,single,f,,socially,63,-1,26/06/2012,"san rafael, california",,,no,english,18-24,406,82,8,18-25,Free,9
288546,51,single,f,,socially,62,-1,29/06/2012,"oakland, california",has kids,virgo,,english,45-54,61,86,9,46-56,Premium,9
997901,33,single,f,,socially,66,-1,29/06/2012,"el cerrito, california",,sagittarius but it doesn’t matter,,"english, spanish (fluently)",25-34,215,52,5,28-38,Free,8
447568,28,single,m,,socially,66,-1,27/06/2012,"san francisco, california",,,,"english, korean (okay)",25-34,292,50,1,23-33,Free,9
119436,37,single,f,,socially,66,-1,22/06/2012,"san francisco, california",,virgo and it’s fun to think about,,"english, spanish, persian",35-44,98,68,2,32-42,Free,10
148813,20,single,m,anything,rarely,72,-1,30/06/2012,"berkeley, california","doesn't have kids, and doesn't want any",libra,no,english (fluently),18-24,171,55,4,18-25,Premium,7
888747,30,single,m,,,74,-1,28/06/2012,"san francisco, california",doesn't have kids,leo,,"english, czech, italian (poorly), french (poorly)",25-34,359,59,9,25-35,Free,7
613791,36,single,m,mostly anything,socially,72,-1,29/06/2012,"san francisco, california",,pisces,no,"english (okay), spanish (fluently)",35-44,213,86,5,31-41,Free,9
597010,26,single,f,mostly anything,socially,63,20000,23/06/2012,"berkeley, california","doesn't have kids, but might want them",gemini and it’s fun to think about,no,english,25-34,474,61,9,21-31,Free,8
694233,26,single,f,mostly anything,socially,68,70000,18/06/2012,"san francisco, california","doesn't have kids, but wants them",sagittarius but it doesn’t matter,no,english,25-34,34,93,1,21-31,Premium,10
447620,33,single,f,anything,rarely,66,-1,27/06/2012,"oakland, california","doesn't have kids, but might want them",,no,"english, spanish (okay), other (poorly)",25-34,448,66,9,28-38,Free,7
382693,20,seeing someone,f,,socially,66,-1,20/03/2012,"san francisco, california",,leo but it doesn’t matter,no,"english (fluently), spanish (poorly)",18-24,226,76,8,18-25,Free,10
